Longitude,Latitude
15.482508837564158,3.8681905291828653
15.473705347779786,3.9140944402013726
15.47244770638202,3.9147232609002565
15.473076527080902,3.9147232609002565
15.471818885683136,3.9153520815991403
15.47244770638202,3.9153520815991403
15.473076527080902,3.9153520815991403
15.470561244285369,3.9159809022980236
15.471818885683136,3.9159809022980236
15.47244770638202,3.9159809022980236
15.473076527080902,3.9159809022980236
15.473076527080902,3.9166097229969075
15.471818885683136,3.9172385436957913
15.47244770638202,3.9172385436957913
15.47244770638202,3.9178673643946746
15.473076527080902,3.9178673643946746
15.46741714079095,3.9184961850935585
15.47433416847867,3.9184961850935585
15.474962989177554,3.9191250057924423
15.46741714079095,3.9417625509522543
15.465530678694298,3.9423913716511376
15.466788320092066,3.9423913716511376
15.468045961489834,3.9423913716511376
15.465530678694298,3.9430201923500214
15.466159499393182,3.9430201923500214
15.463644216597649,3.9436490130489052
15.464273037296532,3.9436490130489052
15.463015395898765,3.9442778337477886
15.498858175735133,3.9461642958444396
15.496971713638482,3.9467931165433234
15.497600534337366,3.9467931165433234
15.49822935503625,3.9467931165433234
15.498858175735133,3.9467931165433234
15.499486996434017,3.9467931165433234
15.500115817132901,3.9467931165433234
15.496971713638482,3.9474219372422072
15.497600534337366,3.9474219372422072
15.49822935503625,3.9474219372422072
15.498858175735133,3.9474219372422072
15.499486996434017,3.9474219372422072
15.47936473406974,3.9493083993388582
15.521495720894945,3.9606271719187642
15.522753362292713,3.9606271719187642
15.52401100369048,3.9606271719187642
15.521495720894945,3.9612559926176476
15.52401100369048,3.9625136340154152
15.52589746578713,3.9650289168109496
15.715801316849998,4.041116221375873
15.287574420910222,4.358041853613241
15.31461371096222,4.386967605761889
