system:index,Latitude,Longitude,Year,.geo
00000000000000003597_0,6.457092885111638,-2.2755251417497,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003586_0,6.458179880197176,-2.27660876205497,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035cd_0,6.455466248462332,-2.276612614032506,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035b0_0,6.456284950836868,-2.279866938882777,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003579_0,6.458452783795845,-2.277693541214447,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035be_0,6.456013970907399,-2.280138612291438,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035a2_0,6.456556314210183,-2.279866555442855,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035ce_0,6.455465863170392,-2.276341324550529,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035cb_0,6.455736455290763,-2.275798360079623,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003587_0,6.458179494741949,-2.276337471128707,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000357c_0,6.458451243354667,-2.276608376766299,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003571_0,6.458722991852628,-2.276879282692822,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035af_0,6.456285334299868,-2.280138229012385,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035cf_0,6.455465477734016,-2.276070035085089,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000357d_0,6.458450857883115,-2.276337085695573,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003588_0,6.4581791091422245,-2.2760661802189817,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000357e_0,6.458450472267054,-2.2760657946413847,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035c6_0,6.455742990798083,-2.280410285411277,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
