FID,vid,id,source,project,pcode,name,visit_date,visit,novisit_reason,geom,longitude,latitude,location_origin,prefecture,sousprefecture,commune,village,chantiers_numb,workers_numb,workers_women,workers_women_work_type,childunder15,childunder15_work_type,minerals,minerals_diamant,minerals_or,minerals_autre,production_destination,services1_name,services1_frequency,services2_name,services2_frequency,services3_name,services3_frequency,actor_type,actor1name,actor1name_frequency,actor1name_tax,actor1name_pillage,actor1name_forcedlabour,actor1name_buyminerals,actor1name_digging,actor1name_monopoly,actor2name,actor2name_frequency,actor2name_tax,actor2name_pillage,actor2name_forcedlabour,actor2name_buyminerals,actor2name_digging,actor2name_monopoly,actor3name,actor3name_frequency,actor3name_tax,actor3name_pillage,actor3name_forcedlabour,actor3name_buyminerals,actor3name_digging,actor3name_monopoly,roadblocks,roadblocks_actor,environment_water_change,environment_deforestation,conflict_category,conflict_type,accident_injured,accident_dead
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b86,11,22,IPIS,IPIS - TetraTech 2019,cafmine00022,Gamme Senguèmon,2019/4/23,1,,POINT (16.993305 5.5278216667),16.993305,5.52782167,GPS,Ombella-M'Poko,Yaloké,Guézéli,Gaga,27,900,200,"Creuser, Concasser, Laver, Transporter, Traiter",90,"Concasser, Laver, Transporter",Or,0,1,0,"Garoua Boulaï, Bangui",Administration des mines,aleatoire,Brigade minière (USAF),aleatoire,,,etatique,FACA,,,,,,,,,,,,,,,,,,,,,,,,0,,1,extension etayement,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b87,12,23,IPIS,IPIS - TetraTech 2019,cafmine00023,Yongoro-Nguiza,2019/4/23,1,,POINT (16.9793166667 5.5189516667),16.97931667,5.51895167,GPS,Ombella-M'Poko,Yaloké,Guézéli,Yongoro-Nguiza,10,300,50,"Creuser, Concasser, Laver, Transporter, Traiter",40,"Creuser, Concasser, Laver, Transporter",Or,0,1,0,"Bangui, Garoua Boulaï",Brigade minière (USAF),aleatoire,,,,,etatique,FACA,,,,,,,,,,,,,,,,,,,,,,,,0,,1,etayement extension,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b88,13,24,IPIS,IPIS - TetraTech 2019,cafmine00024,Gamme-Carrière,2019/4/23,1,,POINT (16.9530383333 5.509415),16.95303833,5.509415,GPS,Ombella-M'Poko,Yaloké,Guézéli,Carrière,150,450,100,"Creuser, Concasser, Laver, Transporter, Traiter",10,"Creuser, Concasser, Laver, Transporter",Or,0,1,0,"Garoua Boulaï, Bouar, Bangui",Administration des mines,aleatoire,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,etayement extension,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b89,14,25,IPIS,IPIS - TetraTech 2019,cafmine00025,Gamme-Yofo,2019/4/23,1,,POINT (16.978135 5.50281),16.978135,5.50281,GPS,Ombella-M'Poko,Yaloké,Guézéli,Yofo,25,650,100,"Concasser, Laver, Transporter, Traiter",30,"Creuser, Concasser, Laver, Transporter",Or,0,1,0,Bangui,Autorités locales ou coutumières,aleatoire,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,etayement extension,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b8a,15,51,IPIS,IPIS - TetraTech 2019,cafmine00051,Pama-Drol,2019/4/23,1,,POINT (17.516804 4.727332),17.516804,4.727332,Approximation,Ombella-M'Poko,Bossembélé,La Mbi,Lambi,2,38,3,Laver,3,"Laver, Autres activités",Diamant,1,0,0,"Bossembélé, Yaloké, Boda, Bangui",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,extension chauffage,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b8b,16,84,IPIS,IPIS - TetraTech 2019,cafmine00084,Garo,2019/4/23,1,,POINT (16.440613 6.47471),16.440613,6.47471,Approximation,Ouham-Pendé,Bozoum,Dan-Gbabiri,Garo,6,215,100,"Creuser sous terre, Laver, Transporter, Traiter",52,"Laver, Transporter, Traiter",Or,0,1,0,Bozoum,Brigade minière (USAF),aleatoire,Services de santé,aleatoire,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,chauffage extension etayement,,,2,1
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b8c,17,85,IPIS,IPIS - TetraTech 2019,cafmine00085,Gouroum,2019/4/23,1,,POINT (16.459734 6.476651),16.459734,6.476651,Approximation,Ouham-Pendé,Bozoum,Dan-Gbabiri,Garo,7,80,40,"Creuser, Laver, Transporter, Traiter",22,"Laver, Transporter, Traiter",Or,0,1,0,"Bozoum, Garoua Boulaï, Mbai Mboum",Brigade minière (USAF),aleatoire,Services de santé,aleatoire,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,extension chauffage etayement,,,0,1
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b8d,18,6,IPIS,IPIS - TetraTech 2019,cafmine00006,Yom,2019/4/24,1,,POINT (17.5933883333 4.8275216667),17.59338833,4.82752167,GPS,Ombella-M'Poko,Bossembélé,La Mbi,Bocan2,2,12,1,"Creuser sous terre, Laver, Traiter",0,,Diamant,1,0,0,"Boda, Yaloké",,,,,,,autodefense,Anti-balaka,,,,,,,,,,,,,,,,,,,,,,,,0,,0,etayement extension,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b8e,19,7,IPIS,IPIS - TetraTech 2019,cafmine00007,Yalicom,2019/4/24,1,,POINT (17.5869266667 4.819855),17.58692667,4.819855,GPS,Ombella-M'Poko,Bossembélé,La Mbi,Bocan2,1,20,1,"Creuser, Creuser sous terre, Laver, Traiter",6,"Laver, Traiter",Diamant,1,0,0,"Boda, Yaloké, Boali, Bangui",,,,,,,autodefense,Anti-balaka,,,,,,,,,,,,,,,,,,,,,,,,0,,1,extension etayement,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b8f,20,10,IPIS,IPIS - TetraTech 2019,cafmine00010,Moundji 1,2019/4/24,1,,POINT (15.724788 6.788653),15.724788,6.788653,Approximation,Ouham-Pendé,Bocaranga,Péndé,Boléré,6,800,250,"Laver, Transporter",50,"Creuser, Laver, Transporter",Or,0,1,0,"Tchad, Cameroun 2",,,,,,,groupe_arme,3R,aleatoire,0,0,,0,,0,,,,,,,,,,,,,,,,,0,,1,extension etayement,"Conflit lié _ l__xploitation artisanale, Conflit avec des acteurs extérieurs au site","Conflits de limites, Conflits avec éleveurs, Conflits avec des groupes armés non-étatiques",0,0
