Unnamed: 0,Longitude,Latitude,NDVI,Band1,Band2,Band3,Band6,Band10,geometry,distance_to_village,distance_to_waterway,distance_to_local_road,distance_to_main_road,distance_to_protected_area
0,26.8314956853973,-1.9091487367551845,0.34305945,8556.0,8553.0,8941.0,11914.0,44125.0,POINT (2986868.4369203444 -212564.8034310012),43340.33330377405,4940.994146146102,22676.20404341217,33444.73209385295,75012.94008599734
1,26.83149565896598,-1.9094201519590424,0.38765326,8422.0,8491.0,9019.0,12541.0,44126.0,POINT (2986868.4339780235 -212595.03401639574),43314.84622677073,4937.838524037933,22706.105000752366,33469.269625526926,75009.61494875241
2,26.831765408996816,-1.909420178534126,0.35749838,8573.0,8584.0,8971.0,11844.0,44144.0,POINT (2986898.462414097 -212595.03697636406),43298.70033524807,4967.71324500601,22701.705066879564,33451.745247801,74979.76811996536
3,26.83203515903141,-1.9094202050666325,0.35707542,8672.0,8687.0,9083.0,12086.0,44152.0,POINT (2986928.4908505897 -212595.03993159003),43282.56925755748,4997.589809359812,22697.344002772163,33434.23865024103,74949.92143636408
4,26.832304909069745,-1.9094202315565632,0.3767902,8651.0,8639.0,9041.0,12372.0,44175.0,POINT (2986958.5192874987 -212595.04288207387),43266.4530102703,5027.468184240158,22693.021830842015,33416.74986079433,74920.07489812536
5,26.832574659111835,-1.9094202580039177,0.3686108,8625.0,8589.0,8947.0,12287.0,44186.0,POINT (2986988.5477248253 -212595.0458278155),43250.35160996536,5057.348337566554,22688.738573317194,33399.27890743561,74890.22850542211
6,26.83122588246152,-1.9096915405405952,0.3680105,8274.0,8398.0,8967.0,12124.0,44150.0,POINT (2986838.402594919 -212625.26164133614),43305.53545201879,4904.975124741659,22740.439779207663,33511.345753215704,75036.15014451375
7,26.831495632530903,-1.909691567162041,0.37583718,8252.0,8383.0,8985.0,12407.0,44153.0,POINT (2986868.431035284 -212625.26460646873),43289.36525141108,4934.866076682469,22736.006834572974,33493.81647036232,75006.30184815779
8,26.83176538260405,-1.909691593740904,0.3648429,8273.0,8331.0,8913.0,11718.0,44164.0,POINT (2986898.459476068 -212625.26756685847),43273.209849688414,4964.758688831349,22731.612688282974,33476.304940198715,74976.45369576916
9,26.83203513268096,-1.9096916202771848,0.36145037,8243.0,8336.0,8888.0,11880.0,44169.0,POINT (2986928.487917271 -212625.2705225053),43257.06926343295,4994.65293138674,22727.25736284345,33458.81119060023,74946.60568752087
10,26.83230488276162,-1.909691646770884,0.38519198,8212.0,8342.0,8918.0,12384.0,44188.0,POINT (2986958.5163588915 -212625.27347340938),43240.94350923651,5024.548775254217,22722.940880578815,33441.33524947263,74916.75782358664
11,26.832574632846026,-1.9096916732220008,0.3735419,8208.0,8286.0,8897.0,12177.0,44195.0,POINT (2986988.544800929 -212625.27641957055),43224.832603700605,5054.446192026166,22718.66326363099,33423.87714475135,74886.91010414042
12,26.832844382934173,-1.9096916996305344,0.36789826,8275.0,8376.0,8939.0,12171.0,44191.0,POINT (2987018.5732433833 -212625.2793609888),43208.73656343542,5084.345153963031,22714.424533959074,33406.43690440099,74857.06252935514
13,26.83311413302605,-1.9096917259964856,0.38414007,8249.0,8297.0,8995.0,12192.0,44177.0,POINT (2987048.6016862527 -212625.28229766403),43192.65540506204,5114.245633969759,22710.224713339227,33389.01455641752,74827.21509940669
14,26.833383883121662,-1.909691752319855,0.36822248,8244.0,8361.0,8951.0,12190.0,44167.0,POINT (2987078.6301295375 -212625.28522959657),43176.58914520915,5144.147605582593,22706.06382336372,33371.610128825276,74797.3678144685
15,26.83365363322099,-1.9096917786006429,0.3538532,8315.0,8419.0,9010.0,12196.0,44155.0,POINT (2987108.658573236 -212625.28815678626),43160.53780051642,5174.051042945963,22701.94188544034,33354.22364967924,74767.52067471655
16,26.833923383324034,-1.909691804838847,0.37786412,8367.0,8464.0,9061.0,12416.0,44133.0,POINT (2987138.687017348 -212625.29107923293),43144.50138763156,5203.955920799616,22697.858920791605,33336.85514706255,74737.6736803249
17,26.831225855980342,-1.909962955738946,0.3750738,8288.0,8409.0,8981.0,12469.0,44179.0,POINT (2986838.3996470477 -212655.4922356658),43280.07010982092,4902.169172971038,22770.336664821032,33535.88905759037,75032.85040005691
18,26.83149560609206,-1.9099629823641784,0.36922562,8292.0,8397.0,9047.0,12578.0,44193.0,POINT (2986868.4280921253 -212655.49520122074),43263.89038848568,4932.077135350633,22765.909541439643,33518.37260791133,75003.0007858146
19,26.83176535620753,-1.909963008946822,0.37116086,8270.0,8397.0,9002.0,12489.0,44196.0,POINT (2986898.456537621 -212655.498162032),43247.725467638746,4961.986553893336,22761.521167693507,33500.87391133155,74973.15131449948
20,26.832035106326764,-1.909963035486877,0.35412607,8257.0,8387.0,8961.0,12250.0,44187.0,POINT (2986928.4849835355 -212655.5011180997),43231.57536388296,4991.8974024329245,22757.17156600118,33483.39299568574,74943.3019862824
21,26.83230485644975,-1.909963061984344,0.35300934,8238.0,8354.0,8882.0,12088.0,44195.0,POINT (2986958.5134298676 -212655.50406942389),43215.44009383164,5021.809655423974,22752.86075860032,33465.92988883918,74913.45280133579
22,26.83257460657648,-1.9099630884392225,0.35643184,8236.0,8331.0,8953.0,12034.0,44201.0,POINT (2986988.5418766164 -212655.50701600444),43199.31967410775,5051.723287924901,22748.588767546902,33448.4846186868,74883.60375983243
23,26.832844356706943,-1.9099631148515128,0.36766917,8228.0,8318.0,8992.0,12015.0,44194.0,POINT (2987018.570323781 -212655.50995784154),43183.2141213435,5081.638275580228,22744.355614715078,33431.0572131535,74853.75486194534
24,26.83311410684115,-1.9099631412212144,0.36138877,8227.0,8327.0,8934.0,12031.0,44184.0,POINT (2987048.5987713626 -212655.51289493503),43167.12345217989,5111.554594605394,22740.161321795793,33413.64770019242,74823.90610784598
25,26.833383856979083,-1.9099631675483275,0.3681474,8247.0,8374.0,8982.0,12005.0,44172.0,POINT (2987078.6272193585 -212655.51582728504),43151.04768326884,5141.472221765128,22736.005910297536,33396.25610778842,74794.05749770929
26,26.833653607120738,-1.909963193832852,0.37581554,8325.0,8418.0,8990.0,12402.0,44160.0,POINT (2987108.6556677693 -212655.51875489132),43134.986831270464,5171.391134363589,22731.88940154433,33378.88246395389,74764.20903170777
27,26.83392335726611,-1.909963220074788,0.39326245,8372.0,8454.0,9131.0,12489.0,44143.0,POINT (2987138.6841165936 -212655.52167775418),43118.9409128548,5201.31131022429,22727.81181667674,33361.52679673217,74734.36071001597
28,26.834193107415192,-1.909963246274136,0.3892413,8378.0,8481.0,9110.0,12709.0,44181.0,POINT (2987168.712565831 -212655.5245958734),43102.90994470111,5231.232727678109,22723.773176649927,33344.18913419498,74704.51253280786
29,26.83446285756797,-1.9099632724308957,0.36073232,8403.0,8481.0,8970.0,11917.0,44185.0,POINT (2987198.741015479 -212655.52750924916),43086.89394349857,5261.155365546088,22719.773502234377,33326.86950444471,74674.66450025947
30,26.834732607724455,-1.9099632985450663,0.36253992,8374.0,8440.0,8975.0,12130.0,44202.0,POINT (2987228.7694655405 -212655.53041788127),43070.892925943226,5291.079203132592,22715.81281401369,33309.56793560964,74644.81661254208
31,26.83500235788463,-1.9099633246166487,0.37240103,8346.0,8442.0,9008.0,12203.0,44180.0,POINT (2987258.797916013 -212655.53332176985),43054.906908742945,5321.004220201171,22711.891132386227,33292.284455850684,74614.96886983277
32,26.835272108048493,-1.9099633506456437,0.3913012,8291.0,8409.0,9033.0,12336.0,44177.0,POINT (2987288.8263668953 -212655.53622091495),43038.93590861365,5350.9303969695475,22708.00847756306,33275.019093356364,74585.12127230658
33,26.83122582949541,-1.9102343709364369,0.35435894,8255.0,8393.0,9040.0,12233.0,44196.0,POINT (2986838.3966987585 -212685.7228346753),43254.61089979,4899.548142052556,22800.23443516264,33560.44164822112,75029.56269077133
34,26.83149557964945,-1.910234397565455,0.36522806,8271.0,8402.0,9077.0,11932.0,44204.0,POINT (2986868.425148547 -212685.72580065223),43238.421648808006,4929.472011593951,22795.813117935828,33542.93801777823,74999.71176331847
35,26.83176532980725,-1.9102344241518787,0.36780065,8246.0,8374.0,8946.0,11997.0,44199.0,POINT (2986898.453598755 -212685.728761885),43222.24719990517,4959.397146178458,22791.430501752475,33525.45214081339,74969.86097775435
36,26.83203507996881,-1.910234450695708,0.38056532,8267.0,8372.0,8957.0,12127.0,44227.0,POINT (2986928.4820493814 -212685.7317183736),43206.08756970635,4989.3235230506125,22787.086608944304,33507.984045121535,74940.01033424945
37,26.832304830134127,-1.910234477196943,0.3897766,8256.0,8354.0,8965.0,12660.0,44223.0,POINT (2986958.510500426 -212685.73467011793),43189.94277484616,5019.251119996722,22782.781461662566,33490.53375852721,74910.15983297459
38,26.832574580303188,-1.910234503655584,0.34394532,8254.0,8373.0,8955.0,12239.0,44236.0,POINT (2986988.5389518873 -212685.73761711805),43173.81283196912,5049.179915327903,22778.51508187792,33473.101308885234,74880.30947410177
39,26.83284433047599,-1.9102345300716292,0.36528888,8243.0,8345.0,8956.0,12393.0,44224.0,POINT (2987018.567403765 -212685.7405593739),43157.69775772893,5079.109887866526,22774.28749137933,33455.68672407939,74850.4592578023
40,26.833114080652525,-1.910234556445081,0.37126908,8247.0,8379.0,9090.0,11938.0,44216.0,POINT (2987048.5958560584 -212685.74349688552),43141.597568788726,5109.041016930378,22770.098711773913,33438.290032023004,74820.60918424782
41,26.833383830832787,-1.910234582775938,0.3633365,8297.0,8390.0,8964.0,11802.0,44208.0,POINT (2987078.6243087663 -212685.7464296529),43125.51228182167,5138.973282317358,22765.948764486293,33420.911260659275,74790.75925361109
42,26.83365358101677,-1.9102346090642008,0.37648234,8336.0,8413.0,9032.0,12642.0,44193.0,POINT (2987108.6527618887 -212685.7493576761),43109.44191350956,5168.906664293912,22761.837670757934,33403.55043796003,74760.90946606382
43,26.83392333120447,-1.910234635309869,0.36439666,8356.0,8460.0,9074.0,11999.0,44184.0,POINT (2987138.681215425 -212685.75228095506),43093.38648054393,5198.841143579782,22757.765451646672,33386.207591926504,74731.05982177843
44,26.83419308139588,-1.9102346615129424,0.37833104,8352.0,8476.0,9047.0,12444.0,44183.0,POINT (2987168.709669374 -212685.7551994898),43077.3459996261,5228.776701334576,22753.732128026444,33368.88275058974,74701.21032092856
45,26.834462831591,-1.9102346876734215,0.38072175,8376.0,8468.0,9043.0,12615.0,44180.0,POINT (2987198.7381237363 -212685.75811328026),43061.32048746556,5258.713319148529,22749.73772058617,33351.575942008494,74671.36096368576
46,26.83473258178981,-1.9102347137913065,0.36997667,8371.0,8459.0,9032.0,12172.0,44206.0,POINT (2987228.7665785095 -212685.76102232648),43045.30996078296,5288.650979024371,22745.78224983019,33334.28719427274,74641.51175022563
47,26.835002331992317,-1.9102347398665964,0.35881394,8344.0,8424.0,8988.0,12372.0,44172.0,POINT (2987258.7950336933 -212685.76392662854),43029.31443630666,5318.589663372145,22741.865736076878,33317.016535499875,74611.6626807212
48,26.835272082198504,-1.910234765899292,0.37130094,8324.0,8420.0,8972.0,12342.0,44171.0,POINT (2987288.823489288 -212685.76682618627),43013.33393077445,5348.52935499516,22737.98819945818,33299.76399383596,74581.81375534584
49,26.83554183240837,-1.9102347918893927,0.3839968,8491.0,8538.0,9081.0,12859.0,44149.0,POINT (2987318.8519452913 -212685.7697209998),42997.36846093402,5378.470037077185,22734.149659919894,33282.52959745716,74551.96497427499
50,26.83581158262192,-1.9102348178369,0.37939516,8633.0,8656.0,9137.0,12331.0,44124.0,POINT (2987348.880401705 -212685.77261106911),42981.418043540485,5408.411693177025,22730.350137220143,33265.31337456644,74522.11633768116
