Unnamed: 0,Longitude,Latitude,NDVI,Band1,Band2,Band3,Band6,Band10,geometry,distance_to_village,distance_to_waterway,distance_to_local_road,distance_to_main_road,distance_to_protected_area
0,26.8314956853973,-1.9091487367551845,0.34305945,8556.0,8553.0,8941.0,11914.0,44125.0,POINT (26.8314956853973 -1.9091487367551845),2040889.0449737692,2051801.7890079378,2057012.346864919,2050144.643574173,1881727.0660515318
1,26.83149565896598,-1.9094201519590424,0.38765326,8422.0,8491.0,9019.0,12541.0,44126.0,POINT (26.83149565896598 -1.9094201519590424),2040869.9327198802,2051782.704444936,2056993.2244991423,2050125.6103768796,1881710.457698116
2,26.831765408996816,-1.909420178534126,0.35749838,8573.0,8584.0,8971.0,11844.0,44144.0,POINT (26.831765408996816 -1.909420178534126),2040893.1337889314,2051805.9279923704,2057016.4173442,2050148.875479545,1881735.488447236
3,26.83203515903141,-1.9094202050666325,0.35707542,8672.0,8687.0,9083.0,12086.0,44152.0,POINT (26.83203515903141 -1.9094202050666325),2040916.3350288318,2051829.1517091924,2057039.6103588524,2050172.140750834,1881760.5193371181
4,26.832304909069745,-1.9094202315565632,0.3767902,8651.0,8639.0,9041.0,12372.0,44175.0,POINT (26.832304909069745 -1.9094202315565632),2040939.5364395727,2051852.3755953915,2057062.8035430927,2050195.406190739,1881785.550367754
5,26.832574659111835,-1.9094202580039177,0.3686108,8625.0,8589.0,8947.0,12287.0,44186.0,POINT (26.832574659111835 -1.9094202580039177),2040962.738021151,2051875.5996509662,2057085.9968969154,2050218.6717992553,1881810.5815391412
6,26.83122588246152,-1.9096915405405952,0.3680105,8274.0,8398.0,8967.0,12124.0,44150.0,POINT (26.83122588246152 -1.9096915405405952),2040827.6196161443,2051740.3965525618,2056950.909505634,2050083.312295373,1881668.818849435
7,26.831495632530903,-1.909691567162041,0.37583718,8252.0,8383.0,8985.0,12407.0,44153.0,POINT (26.831495632530903 -1.909691567162041),2040850.820723839,2051763.6201388077,2056974.1023888618,2050106.5774376034,1881693.8496719932
8,26.83176538260405,-1.909691593740904,0.3648429,8273.0,8331.0,8913.0,11718.0,44164.0,POINT (26.83176538260405 -1.909691593740904),2040874.0220023862,2051786.843894442,2056997.2954416894,2050129.8427484604,1881718.880635315
9,26.83203513268096,-1.9096916202771848,0.36145037,8243.0,8336.0,8888.0,11880.0,44169.0,POINT (26.83203513268096 -1.9096916202771848),2040897.2234517797,2051810.0678194596,2057020.4886641076,2050153.1082279384,1881743.9117393952
10,26.83230488276162,-1.909691646770884,0.38519198,8212.0,8342.0,8918.0,12384.0,44188.0,POINT (26.83230488276162 -1.909691646770884),2040920.4250720113,2051833.2919138551,2057043.6820561127,2050176.3738760306,1881768.9429842262
11,26.832574632846026,-1.9096916732220008,0.3735419,8208.0,8286.0,8897.0,12177.0,44195.0,POINT (26.832574632846026 -1.9096916732220008),2040943.6268630766,2051856.5161776196,2057066.875617696,2050199.6396927303,1881793.9743698027
12,26.832844382934173,-1.9096916996305344,0.36789826,8275.0,8376.0,8939.0,12171.0,44191.0,POINT (26.832844382934173 -1.9096916996305344),2040966.8288249695,2051879.7406107492,2057090.0693488533,2050222.905678032,1881819.0058961192
13,26.83311413302605,-1.9096917259964856,0.38414007,8249.0,8297.0,8995.0,12192.0,44177.0,POINT (26.83311413302605 -1.9096917259964856),2040990.030957682,2051902.9652132362,2057113.2632495773,2050246.1718319296,1881844.037563168
14,26.833383883121662,-1.909691752319855,0.36822248,8244.0,8361.0,8951.0,12190.0,44167.0,POINT (26.833383883121662 -1.909691752319855),2041013.2332612094,2051926.1899850762,2057136.457319862,2050269.4381544166,1881869.0693709438
15,26.83365363322099,-1.9096917786006429,0.3538532,8315.0,8419.0,9010.0,12196.0,44155.0,POINT (26.83365363322099 -1.9096917786006429),2041036.4357355435,2051949.4149262605,2057159.6515597007,2050292.704645486,1881894.1013194402
16,26.833923383324034,-1.909691804838847,0.37786412,8367.0,8464.0,9061.0,12416.0,44133.0,POINT (26.833923383324034 -1.909691804838847),2041059.6383806798,2051972.6400367846,2057182.8459690881,2050315.9713051328,1881919.1334086517
17,26.831225855980342,-1.909962955738946,0.3750738,8288.0,8409.0,8981.0,12469.0,44179.0,POINT (26.831225855980342 -1.909962955738946),2040808.5076684575,2051721.3122951088,2056931.787443084,2050064.2794059245,1881652.2109364066
18,26.83149560609206,-1.9099629823641784,0.36922562,8292.0,8397.0,9047.0,12578.0,44193.0,POINT (26.83149560609206 -1.9099629823641784),2040831.7089856525,2051744.5360895596,2056954.9805340867,2050087.5447563513,1881677.2419731712
19,26.83176535620753,-1.909963008946822,0.37116086,8270.0,8397.0,9002.0,12489.0,44196.0,POINT (26.83176535620753 -1.909963008946822),2040854.9104736967,2051767.7600533944,2056978.1737946833,2050110.810275401,1881702.2731506957
20,26.832035106326764,-1.909963035486877,0.35412607,8257.0,8387.0,8961.0,12250.0,44187.0,POINT (26.832035106326764 -1.909963035486877),2040878.1121325844,2051790.9841866107,2057001.3672248705,2050134.075963069,1881727.3044689738
